state,city,total_orders,total_customers,total_order_items,total_revenue,total_freight,average_order_value,average_freight_per_order,average_delivery_days,late_orders,late_delivery_rate_percent
PR,amapora,2,2,3,129.9,50.75,64.95,25.38,11.05,0,0.0
RN,riacho da cruz,1,1,1,129.9,47.44,129.9,47.44,15.16,0,0.0
CE,araripe,1,1,1,129.6,25.4,129.6,25.4,30.53,0,0.0
PB,nova floresta,1,1,1,129.6,25.4,129.6,25.4,27.85,0,0.0
TO,araguacu,1,1,1,129.5,33.36,129.5,33.36,12.4,0,0.0
BA,mundo novo,1,1,1,129.0,28.28,129.0,28.28,14.2,0,0.0
MG,comercinho,1,1,1,129.0,15.65,129.0,15.65,15.95,0,0.0
MG,corrego fundo,1,1,1,129.0,15.65,129.0,15.65,24.86,1,100.0
MG,paula candido,1,1,1,129.0,39.19,129.0,39.19,22.63,0,0.0
PR,boa esperanca,1,1,1,129.0,50.77,129.0,50.77,27.1,0,0.0
SP,alfredo marcondes,1,1,1,129.0,40.23,129.0,40.23,16.08,0,0.0
SP,jeriquara,1,1,1,129.0,15.65,129.0,15.65,14.16,0,0.0
TO,carmolandia,1,1,1,129.0,38.45,129.0,38.45,20.45,0,0.0
PR,grandes rios,2,2,2,128.99,28.76,64.5,14.38,15.48,0,0.0
MT,castanheira,3,3,3,128.98,60.41,42.99,20.14,19.32,0,0.0
MG,santa cruz do prata,2,2,2,128.9,29.82,64.45,14.91,20.66,0,0.0
ES,brejetuba,1,1,1,128.89,15.65,128.89,15.65,21.17,0,0.0
MT,poxoreu,2,2,2,128.57,44.02,64.28,22.01,14.16,0,0.0
MA,sao domingos do maranhao,2,2,2,127.89,91.62,63.94,45.81,16.18,0,0.0
GO,corumba de goias,2,2,2,126.99,36.29,63.49,18.14,10.12,0,0.0
PR,farol,1,1,1,126.99,25.73,126.99,25.73,12.13,0,0.0
SC,angelina,1,1,1,126.99,15.06,126.99,15.06,18.8,0,0.0
BA,itagiba,2,2,2,126.89,17.97,63.45,8.98,25.01,1,50.0
PE,jatauba,2,2,2,126.89,85.23,63.45,42.61,27.86,1,50.0
RS,barao de cotegipe,2,1,2,126.89,27.82,63.44,13.91,10.87,0,0.0
SP,jaborandi,3,3,3,126.29,40.09,42.1,13.36,6.23,0,0.0
MG,piau,2,2,2,125.89,35.55,62.94,17.77,7.91,0,0.0
SC,abdon batista,1,1,2,125.4,31.3,125.4,31.3,14.87,0,0.0
BA,sao desiderio,1,1,1,125.0,36.19,125.0,36.19,16.17,0,0.0
MT,tapurah,1,1,1,125.0,20.11,125.0,20.11,17.82,0,0.0
RS,charrua,1,1,1,125.0,16.63,125.0,16.63,13.33,0,0.0
RS,mariano moro,1,1,1,125.0,12.26,125.0,12.26,5.94,0,0.0
SP,natividade da serra,1,1,1,125.0,13.89,125.0,13.89,14.94,0,0.0
MG,inhauma,2,2,2,124.98,36.23,62.49,18.12,8.06,0,0.0
BA,brejoes,1,1,1,124.9,18.44,124.9,18.44,23.74,0,0.0
MG,carlos chagas,2,2,2,124.8,32.57,62.4,16.29,13.08,0,0.0
PR,imbau,2,2,2,124.2,30.67,62.1,15.34,8.21,0,0.0
MG,coracao de jesus,3,3,3,123.9,49.48,41.3,16.49,9.92,0,0.0
CE,barreira,1,1,1,123.89,18.12,123.89,18.12,5.86,0,0.0
MT,juscimeira,2,2,2,123.8,43.2,61.9,21.6,24.73,0,0.0
BA,ibirapua,1,1,1,122.99,18.43,122.99,18.43,13.31,0,0.0
GO,aurilandia,1,1,1,122.99,53.21,122.99,53.21,19.78,0,0.0
PR,santana,1,1,1,122.99,15.61,122.99,15.61,16.33,0,0.0
RN,felipe guerra,1,1,1,122.99,34.66,122.99,34.66,15.14,0,0.0
RS,maquine,1,1,1,122.99,84.41,122.99,84.41,15.29,0,0.0
RS,sao nicolau,1,1,1,122.99,15.61,122.99,15.61,20.96,0,0.0
PE,caetes,1,1,1,122.9,43.14,122.9,43.14,8.93,0,0.0
RS,protasio alves,2,2,2,122.9,42.16,61.45,21.08,16.65,0,0.0
BA,mascote,2,2,2,122.4,36.59,61.2,18.3,26.11,0,0.0
PR,doutor ulysses,1,1,2,122.0,36.61,122.0,36.61,7.15,0,0.0
SC,coronel martins,2,1,2,121.3,30.84,60.65,15.42,15.23,0,0.0
TO,divinopolis do tocantins,1,1,1,120.99,18.28,120.99,18.28,15.95,0,0.0
GO,araguapaz,2,2,2,120.9,39.99,60.45,19.99,20.12,0,0.0
RO,mirante da serra,1,1,1,120.9,44.7,120.9,44.7,17.05,0,0.0
SP,sao francisco,2,2,2,120.87,45.85,60.44,22.93,10.92,0,0.0
BA,biritinga,1,1,1,120.0,27.57,120.0,27.57,13.01,0,0.0
MA,miranda do norte,1,1,1,120.0,34.64,120.0,34.64,16.77,0,0.0
MG,morro do ferro,1,1,1,120.0,34.38,120.0,34.38,12.31,0,0.0
MG,passa tempo,1,1,1,120.0,26.46,120.0,26.46,7.98,0,0.0
MS,tacuru,1,1,1,120.0,50.71,120.0,50.71,17.16,0,0.0
PB,pitanga de estrada,1,1,1,120.0,34.83,120.0,34.83,21.23,0,0.0
RN,severiano melo,1,1,1,120.0,70.83,120.0,70.83,31.78,1,100.0
SC,nossa senhora de caravaggio,1,1,1,120.0,34.38,120.0,34.38,10.08,0,0.0
TO,lajeado,1,1,1,120.0,55.1,120.0,55.1,15.65,0,0.0
MG,sao joao das missoes,2,2,2,119.99,45.16,59.99,22.58,9.28,0,0.0
PI,santa cruz do piaui,1,1,1,119.99,38.39,119.99,38.39,12.96,0,0.0
RS,erebango,1,1,1,119.99,19.43,119.99,19.43,16.22,0,0.0
RS,nova araca,1,1,1,119.99,16.6,119.99,16.6,10.89,0,0.0
BA,wagner,1,1,1,119.9,27.79,119.9,27.79,14.14,0,0.0
CE,mucambo,1,1,1,119.9,29.24,119.9,29.24,16.0,0,0.0
ES,vila nelita,2,2,3,119.9,48.08,59.95,24.04,33.51,2,100.0
GO,ipiranga de goias,1,1,1,119.9,20.08,119.9,20.08,16.23,0,0.0
MG,bela vista de minas,1,1,1,119.9,14.61,119.9,14.61,7.45,0,0.0
MG,cachoeira dourada,1,1,1,119.9,22.77,119.9,22.77,7.16,0,0.0
MG,sardoa,1,1,1,119.9,18.09,119.9,18.09,11.87,0,0.0
MG,serranopolis de minas,1,1,1,119.9,16.6,119.9,16.6,16.55,0,0.0
SP,bora,1,1,1,119.9,19.81,119.9,19.81,16.23,0,0.0
RO,presidente medici,2,2,2,119.89,68.44,59.95,34.22,14.81,0,0.0
MG,antunes,1,1,1,119.8,15.59,119.8,15.59,12.09,0,0.0
MG,aracitaba,2,2,2,119.8,36.94,59.9,18.47,10.46,0,0.0
PB,areia,2,2,2,119.8,113.66,59.9,56.83,29.27,1,50.0
RJ,sacra familia do tingua,1,1,1,119.8,29.24,119.8,29.24,7.58,0,0.0
RS,silveira martins,1,1,2,119.8,35.34,119.8,35.34,17.14,0,0.0
SC,morro grande,1,1,2,119.8,38.78,119.8,38.78,19.77,0,0.0
SC,jose boiteux,1,1,3,119.7,45.3,119.7,45.3,17.85,0,0.0
MG,ferros,2,2,2,119.6,27.76,59.8,13.88,8.99,0,0.0
PB,bonito de santa fe,1,1,1,119.6,43.25,119.6,43.25,18.86,0,0.0
PA,mojui dos campos,2,2,2,119.59,61.28,59.8,30.64,27.95,0,0.0
BA,central,1,1,1,119.5,23.39,119.5,23.39,46.5,1,100.0
BA,maiquinique,1,1,1,119.4,20.08,119.4,20.08,16.14,0,0.0
BA,saude,2,2,2,119.4,50.58,59.7,25.29,23.35,1,50.0
MG,andrelandia,3,3,5,119.36,49.71,39.79,16.57,20.37,1,33.33
MG,senador modestino goncalves,2,2,2,119.32,33.85,59.66,16.93,14.45,0,0.0
MA,araguana,1,1,1,119.0,105.07,119.0,105.07,16.03,0,0.0
MG,campo alegre de minas,1,1,1,119.0,18.93,119.0,18.93,17.83,0,0.0
PR,sede alvorada,1,1,1,119.0,35.9,119.0,35.9,20.97,1,100.0
RS,andre da rocha,1,1,1,119.0,27.13,119.0,27.13,7.14,0,0.0
SP,meridiano,1,1,1,119.0,21.47,119.0,21.47,5.25,0,0.0
PR,quinta do sol,3,3,3,118.99,59.67,39.66,19.89,16.37,0,0.0
PR,sao jose da boa vista,1,1,1,118.99,18.08,118.99,18.08,11.93,0,0.0
SC,sao cristovao do sul,1,1,1,118.99,18.08,118.99,18.08,7.04,0,0.0
BA,ibitiara,1,1,1,118.9,38.38,118.9,38.38,12.1,0,0.0
RS,alpestre,1,1,1,118.9,18.08,118.9,18.08,13.36,0,0.0
SC,treviso,1,1,1,118.9,18.08,118.9,18.08,14.76,0,0.0
RO,guajara-mirim,3,3,3,118.89,83.96,39.63,27.99,14.01,0,0.0
BA,barro preto,1,1,1,118.8,27.78,118.8,27.78,12.2,0,0.0
MG,dionisio,2,2,2,118.8,35.62,59.4,17.81,7.8,0,0.0
PR,jardim alegre,2,2,2,118.38,43.06,59.19,21.53,12.68,0,0.0
SC,cerro negro,1,1,2,118.0,35.32,118.0,35.32,22.17,0,0.0
RO,cerejeiras,1,1,1,117.99,43.24,117.99,43.24,11.91,0,0.0
RN,marcelino vieira,1,1,1,117.7,51.32,117.7,51.32,78.18,1,100.0
MG,durande,2,2,2,117.49,28.7,58.75,14.35,7.74,0,0.0
MG,sao geraldo do baguari,1,1,1,117.3,25.66,117.3,25.66,9.5,0,0.0
PR,iretama,1,1,1,117.3,22.29,117.3,22.29,22.49,0,0.0
PR,rancho alegre d'oeste,1,1,1,117.3,31.99,117.3,31.99,17.33,0,0.0
PR,sao pedro do iguacu,1,1,1,117.3,25.66,117.3,25.66,43.96,1,100.0
SP,venda branca,1,1,1,117.3,17.53,117.3,17.53,10.4,0,0.0
MG,salto da divisa,2,2,2,116.98,34.68,58.49,17.34,11.94,0,0.0
MG,senhora de oliveira,2,2,4,116.9,53.04,58.45,26.52,21.7,1,50.0
MS,anastacio,2,2,2,116.9,36.45,58.45,18.23,10.48,0,0.0
MG,chale,2,2,2,116.4,39.82,58.2,19.91,14.54,0,0.0
MG,careacu,2,2,3,116.13,53.46,58.06,26.73,12.3,0,0.0
CE,quixelo,2,2,2,115.99,84.26,57.99,42.13,12.55,0,0.0
RS,coxilha,2,2,2,115.9,75.6,57.95,37.8,23.01,1,50.0
TO,duere,1,1,1,115.9,42.87,115.9,42.87,14.17,0,0.0
SP,jaci,2,2,2,115.89,27.52,57.95,13.76,11.86,0,0.0
MG,presidente kubitschek,2,2,2,115.43,40.63,57.71,20.31,16.19,0,0.0
PI,lagoinha do piaui,1,1,1,115.0,34.61,115.0,34.61,22.81,0,0.0
PI,luis correia,1,1,1,115.0,38.36,115.0,38.36,20.12,0,0.0
TO,aparecida do rio negro,1,1,1,115.0,57.58,115.0,57.58,20.92,0,0.0
PR,cantagalo,2,2,2,114.99,38.85,57.49,19.43,20.13,0,0.0
PE,sao domingos,1,1,1,114.94,55.07,114.94,55.07,35.88,0,0.0
MG,cruzeiro da fortaleza,2,2,2,114.9,29.4,57.45,14.7,9.6,0,0.0
PI,bocaina,1,1,1,114.9,83.72,114.9,83.72,16.38,0,0.0
SP,quadra,2,2,2,114.9,32.74,57.45,16.37,9.97,0,0.0
TO,pugmil,1,1,1,114.9,33.25,114.9,33.25,36.13,1,100.0
GO,domiciano ribeiro,2,2,2,114.89,34.49,57.45,17.24,22.27,0,0.0
PB,conceicao,2,2,2,114.49,60.75,57.24,30.38,20.51,0,0.0
SC,luiz alves,2,2,2,114.0,30.4,57.0,15.2,11.25,0,0.0
MG,jacinto,2,2,2,113.99,30.47,56.99,15.23,16.18,0,0.0
MA,chapadinha,3,3,4,113.88,173.18,37.96,57.73,11.67,0,0.0
RN,lagoa nova,2,2,2,113.8,91.4,56.9,45.7,22.29,0,0.0
MA,sao joao batista,1,1,1,113.0,36.11,113.0,36.11,40.99,1,100.0
MS,pedro gomes,1,1,1,113.0,19.38,113.0,19.38,16.5,0,0.0
PB,alagoa nova,1,1,1,113.0,51.29,113.0,51.29,31.96,0,0.0
PR,nova santa barbara,1,1,1,113.0,17.53,113.0,17.53,11.77,0,0.0
GO,aragoiania,1,1,1,112.9,0.0,112.9,0.0,16.06,0,0.0
MG,estrela do indaia,2,2,2,112.8,34.7,56.4,17.35,9.96,0,0.0
SP,presidente alves,2,2,2,112.61,27.81,56.3,13.9,8.12,0,0.0
SP,neves paulista,3,3,3,112.58,41.74,37.53,13.91,9.32,0,0.0
PR,turvo,2,2,2,112.1,30.58,56.05,15.29,14.69,0,0.0
RS,cotipora,1,1,1,112.0,15.53,112.0,15.53,21.38,0,0.0
SP,mariapolis,2,2,2,111.9,29.08,55.95,14.54,9.96,0,0.0
BA,itagi,2,2,2,111.89,52.75,55.95,26.38,17.07,0,0.0
RN,extremoz,2,2,2,111.79,48.35,55.89,24.17,29.98,1,50.0
PR,manfrinopolis,1,1,1,111.0,27.08,111.0,27.08,12.4,0,0.0
RS,lindolfo collor,1,1,1,110.9,19.75,110.9,19.75,9.11,0,0.0
PR,ipiranga,3,2,3,110.89,50.2,36.96,16.73,10.64,0,0.0
BA,wenceslau guimaraes,1,1,1,110.0,27.5,110.0,27.5,22.83,0,0.0
CE,independencia,1,1,1,110.0,26.05,110.0,26.05,19.48,0,0.0
PB,lagoa,1,1,1,110.0,70.76,110.0,70.76,44.94,1,100.0
PI,caldeirao grande do piaui,1,1,1,110.0,70.76,110.0,70.76,22.31,0,0.0
MG,umburatiba,1,1,1,109.99,24.71,109.99,24.71,6.42,0,0.0
AL,sao jose da tapera,1,1,1,109.9,34.57,109.9,34.57,19.01,0,0.0
CE,missi,1,1,1,109.9,43.05,109.9,43.05,21.03,0,0.0
PB,arara,1,1,1,109.9,27.24,109.9,27.24,17.08,0,0.0
RN,jandaira,1,1,1,109.9,38.32,109.9,38.32,14.71,0,0.0
RS,caseiros,1,1,1,109.9,42.76,109.9,42.76,16.95,0,0.0
RS,ipiranga do sul,1,1,1,109.9,23.35,109.9,23.35,13.91,0,0.0
CE,ocara,2,2,2,109.89,52.8,54.94,26.4,30.1,1,50.0
RS,sao francisco de assis,2,2,2,109.89,35.5,54.95,17.75,30.03,1,50.0
SP,nova canaa paulista,2,2,2,109.89,29.26,54.95,14.63,7.76,0,0.0
CE,aiuaba,1,1,1,109.7,37.68,109.7,37.68,10.13,0,0.0
RS,herveiras,1,1,1,109.0,16.52,109.0,16.52,8.22,0,0.0
GO,arenopolis,1,1,1,108.9,20.0,108.9,20.0,12.22,0,0.0
MG,japaraiba,1,1,1,108.9,23.56,108.9,23.56,7.0,0,0.0
MG,francisco dumont,2,2,2,108.89,32.98,54.45,16.49,9.53,0,0.0
TO,parana,2,2,2,108.88,86.37,54.44,43.19,29.31,1,50.0
SP,tapirai,2,2,2,108.65,31.88,54.33,15.94,17.51,1,50.0
MG,itabirinha,1,1,1,108.0,49.41,108.0,49.41,7.06,0,0.0
SP,ajapi,1,1,1,108.0,13.34,108.0,13.34,27.39,1,100.0
PB,picui,2,2,2,107.99,117.62,53.99,58.81,19.14,1,50.0
BA,canarana,1,1,1,107.9,22.69,107.9,22.69,14.9,0,0.0
RS,capitao,1,1,2,107.8,38.7,107.8,38.7,9.48,0,0.0
SP,igaracu do tiete,4,4,4,107.69,49.97,26.92,12.49,6.26,0,0.0
MG,liberdade,3,3,3,107.23,43.67,35.74,14.56,8.94,0,0.0
SP,mombuca,3,3,3,107.14,37.33,35.71,12.44,17.22,1,33.33
TO,augustinopolis,1,1,1,107.0,37.89,107.0,37.89,18.01,0,0.0
PA,santa maria do para,2,2,2,106.99,57.9,53.49,28.95,25.36,0,0.0
MG,agua comprida,2,2,2,106.9,33.75,53.45,16.88,7.21,0,0.0
SC,peritiba,2,2,2,106.9,37.81,53.45,18.91,13.21,0,0.0
SP,anhembi,1,1,1,106.9,13.19,106.9,13.19,29.26,0,0.0
MG,varjao de minas,2,2,2,105.8,26.1,52.9,13.05,10.98,0,0.0
PI,itaueira,2,1,2,105.28,68.34,52.64,34.17,14.6,0,0.0
MA,presidente medici,1,1,1,105.0,38.99,105.0,38.99,10.94,0,0.0
MG,quatituba,1,1,1,105.0,9.85,105.0,9.85,7.47,0,0.0
PE,pombos,1,1,1,105.0,26.43,105.0,26.43,31.32,0,0.0
TO,colmeia,2,2,2,105.0,75.69,52.5,37.84,17.18,0,0.0
AL,dois riachos,1,1,1,104.99,47.26,104.99,47.26,33.3,0,0.0
RJ,conrado,1,1,1,104.9,21.22,104.9,21.22,9.85,0,0.0
SP,rinopolis,2,2,2,104.89,29.67,52.45,14.84,7.04,0,0.0
MG,santo hipolito,1,1,1,104.4,15.48,104.4,15.48,11.19,0,0.0
ES,divino de sao lourenco,1,1,1,103.97,45.19,103.97,45.19,16.47,0,0.0
MG,crisolita,2,2,2,103.9,30.34,51.95,15.17,14.5,0,0.0
PR,tamarana,2,2,3,103.9,56.94,51.95,28.47,14.68,0,0.0
SC,lindoia do sul,1,1,1,103.9,16.32,103.9,16.32,9.85,0,0.0
PR,california,2,2,2,103.8,30.15,51.9,15.08,10.57,0,0.0
MG,pocoes de paineiras,1,1,2,102.89,43.06,102.89,43.06,12.76,0,0.0
PI,pimenteiras,2,2,2,102.5,90.71,51.25,45.36,9.89,0,0.0
MG,planura,2,2,2,102.16,48.94,51.08,24.47,9.02,0,0.0
ES,governador lindenberg,2,2,2,101.97,34.31,50.98,17.16,10.54,0,0.0
SP,guzolandia,1,1,1,101.62,41.69,101.62,41.69,10.01,0,0.0
ES,braco do rio,2,2,2,101.49,37.44,50.74,18.72,27.03,1,50.0
SC,sao bonifacio,1,1,1,101.0,15.46,101.0,15.46,12.68,0,0.0
MS,aquidauana,3,3,3,100.8,53.95,33.6,17.98,10.17,0,0.0
BA,itubera,3,3,4,100.73,80.49,33.58,26.83,10.57,0,0.0
CE,oros,2,2,2,100.65,60.06,50.33,30.03,16.24,0,0.0
BA,dom basilio,3,3,4,100.28,72.43,33.43,24.14,16.46,0,0.0
RS,fortaleza dos valos,1,1,1,100.0,19.95,100.0,19.95,15.24,0,0.0
SP,rubineia,1,1,1,100.0,12.2,100.0,12.2,63.85,1,100.0
BA,banzae,1,1,1,99.99,27.43,99.99,27.43,31.33,1,100.0
BA,barrocas,1,1,1,99.99,18.27,99.99,18.27,12.41,0,0.0
BA,campo alegre de lourdes,1,1,1,99.99,24.9,99.99,24.9,17.83,0,0.0
MA,brejo,1,1,1,99.99,38.25,99.99,38.25,21.93,0,0.0
MG,bonito de minas,1,1,1,99.99,15.45,99.99,15.45,26.21,0,0.0
MG,brasopolis,1,1,1,99.99,15.91,99.99,15.91,14.06,0,0.0
MG,claro dos pocoes,1,1,1,99.99,23.69,99.99,23.69,6.61,0,0.0
MG,inconfidentes,2,2,7,99.99,108.98,50.0,54.49,16.86,0,0.0
MG,silvano,1,1,1,99.99,17.95,99.99,17.95,14.22,0,0.0
PE,nazare da mata,1,1,1,99.99,14.57,99.99,14.57,16.26,0,0.0
RJ,mussurepe,1,1,1,99.99,17.95,99.99,17.95,39.03,1,100.0
RN,tibau do sul,1,1,1,99.99,44.8,99.99,44.8,18.8,0,0.0
RS,santa maria do herval,1,1,1,99.99,15.45,99.99,15.45,14.97,0,0.0
SC,fragosos,1,1,1,99.99,15.91,99.99,15.91,23.06,1,100.0
SE,japaratuba,1,1,1,99.99,38.25,99.99,38.25,20.27,0,0.0
SP,santa clara d'oeste,1,1,1,99.99,15.45,99.99,15.45,13.94,0,0.0
AL,cajueiro,1,1,1,99.9,38.25,99.9,38.25,26.83,0,0.0
BA,umburanas,1,1,1,99.9,23.85,99.9,23.85,15.12,0,0.0
CE,caridade,1,1,1,99.9,0.0,99.9,0.0,20.75,0,0.0
MG,coronel pacheco,1,1,1,99.9,0.0,99.9,0.0,14.23,0,0.0
MG,felisburgo,1,1,1,99.9,23.57,99.9,23.57,13.39,0,0.0
MG,olhos d'agua,1,1,1,99.9,19.94,99.9,19.94,22.13,0,0.0
MG,sao vitor,1,1,1,99.9,21.19,99.9,21.19,23.9,0,0.0
MT,nova ubirata,1,1,1,99.9,23.85,99.9,23.85,12.86,0,0.0
PA,nova timboteua,1,1,1,99.9,33.15,99.9,33.15,18.85,0,0.0
PE,orobo,1,1,1,99.9,42.73,99.9,42.73,23.89,0,0.0
PR,douradina,1,1,1,99.9,18.75,99.9,18.75,6.21,0,0.0
RS,sao pedro do butia,1,1,1,99.9,16.29,99.9,16.29,9.91,0,0.0
SC,frei rogerio,1,1,1,99.9,21.19,99.9,21.19,11.03,0,0.0
SP,novais,1,1,1,99.9,12.09,99.9,12.09,9.01,0,0.0
RN,rodolfo fernandes,2,2,2,99.89,68.3,49.95,34.15,28.85,0,0.0
MG,alexandrita,1,1,2,99.8,30.2,99.8,30.2,10.9,0,0.0
SC,zortea,2,2,2,99.8,37.77,49.9,18.88,20.48,0,0.0
SP,getulina,2,2,2,99.8,31.22,49.9,15.61,14.06,0,0.0
RN,vila flor,1,1,1,99.73,38.25,99.73,38.25,17.23,0,0.0
AL,pilar,3,3,3,99.7,68.66,33.23,22.89,29.59,1,33.33
TO,pindorama do tocantins,2,2,2,99.66,74.52,49.83,37.26,14.46,0,0.0
BA,anguera,1,1,1,99.0,45.99,99.0,45.99,15.22,0,0.0
BA,conceicao do almeida,1,1,1,99.0,21.14,99.0,21.14,21.08,0,0.0
CE,palhano,1,1,1,99.0,37.6,99.0,37.6,18.0,0,0.0
DF,sobradinho,1,1,1,99.0,16.94,99.0,16.94,8.81,0,0.0
MA,formosa da serra negra,1,1,1,99.0,56.5,99.0,56.5,42.49,1,100.0
RS,barra do rio azul,1,1,1,99.0,49.71,99.0,49.71,23.4,0,0.0
SP,paulistania,1,1,1,99.0,17.94,99.0,17.94,8.8,0,0.0
PB,varzea,1,1,1,98.99,51.19,98.99,51.19,27.02,0,0.0
MG,varzelandia,2,2,2,98.89,32.55,49.45,16.27,13.06,0,0.0
MT,sao felix do araguaia,1,1,2,98.8,35.84,98.8,35.84,18.33,0,0.0
BA,gentio do ouro,1,1,1,98.7,22.4,98.7,22.4,24.42,0,0.0
RS,sao pedro do sul,1,1,1,98.7,23.27,98.7,23.27,18.37,0,0.0
RS,barracao,2,2,2,98.49,33.71,49.24,16.86,19.16,0,0.0
BA,governador mangabeira,1,1,1,98.0,18.26,98.0,18.26,20.22,0,0.0
CE,jaguaribara,1,1,1,98.0,27.23,98.0,27.23,20.0,0,0.0
MA,lago verde,1,1,1,98.0,36.01,98.0,36.01,22.25,0,0.0
MG,vermelho,1,1,1,98.0,18.79,98.0,18.79,11.33,0,0.0
PA,monte alegre,1,1,2,98.0,51.26,98.0,51.26,24.11,0,0.0
GO,barro alto,1,1,1,97.9,25.43,97.9,25.43,19.2,0,0.0
RJ,sao jose do ribeirao,1,1,1,97.9,17.94,97.9,17.94,21.02,0,0.0
SP,aramina,1,1,1,97.9,13.71,97.9,13.71,25.75,1,100.0
BA,sitio do quinto,2,2,2,97.89,33.76,48.95,16.88,21.24,0,0.0
MT,santo antonio do leverger,1,1,1,97.0,27.41,97.0,27.41,14.13,0,0.0
RS,eugenio de castro,1,1,1,97.0,14.76,97.0,14.76,14.3,0,0.0
TO,ananas,1,1,1,96.8,25.96,96.8,25.96,13.94,0,0.0
MG,ingai,1,1,1,96.0,13.38,96.0,13.38,30.33,1,100.0
MG,sao bras do suacui,2,2,2,95.99,33.72,48.0,16.86,10.3,0,0.0
MA,benedito leite,1,1,1,95.9,38.22,95.9,38.22,34.42,0,0.0
RS,aguas claras,1,1,1,95.8,21.16,95.8,21.16,37.06,1,100.0
GO,planaltina de goias,2,1,2,95.6,36.01,47.8,18.0,10.23,0,0.0
CE,meruoca,2,2,2,95.0,65.85,47.5,32.92,21.6,0,0.0
MA,sao benedito do rio preto,1,1,1,95.0,38.22,95.0,38.22,24.46,0,0.0
MT,ipiranga do norte,1,1,1,95.0,19.83,95.0,19.83,15.21,0,0.0
PE,ferreiros,1,1,1,95.0,38.94,95.0,38.94,9.29,0,0.0
GO,goiandira,1,1,1,94.9,18.23,94.9,18.23,7.05,0,0.0
SP,gaviao peixoto,2,2,2,94.89,47.15,47.45,23.57,13.34,0,0.0
MG,patrocinio do muriae,2,2,2,94.8,39.58,47.4,19.79,21.79,1,50.0
MS,caracol,1,1,1,94.0,17.1,94.0,17.1,5.41,0,0.0
GO,portelandia,2,2,2,93.99,36.64,47.0,18.32,16.39,0,0.0
MA,boa vista do gurupi,2,2,2,93.89,60.86,46.95,30.43,52.09,1,50.0
PR,entre rios do oeste,3,3,3,93.89,54.69,31.3,18.23,15.31,0,0.0
PR,sao carlos do ivai,1,1,1,93.0,26.95,93.0,26.95,5.22,0,0.0
SP,coronel macedo,2,2,2,92.9,25.35,46.45,12.68,7.56,0,0.0
MG,vila pereira,1,1,1,92.8,16.41,92.8,16.41,32.22,1,100.0
RS,aratiba,1,1,1,92.5,13.99,92.5,13.99,9.28,0,0.0
AC,epitaciolandia,1,1,1,92.34,47.18,92.34,47.18,12.46,0,0.0
BA,barro alto,2,2,2,91.99,40.19,45.99,20.09,14.54,0,0.0
SP,monte castelo,1,1,1,91.5,15.39,91.5,15.39,9.23,0,0.0
BA,planalto,1,1,1,91.0,25.45,91.0,25.45,21.68,0,0.0
RS,quevedos,2,2,2,90.9,40.79,45.45,20.39,20.63,0,0.0
MA,senador la rocque,1,1,1,90.0,34.43,90.0,34.43,12.79,0,0.0
PB,manaira,1,1,1,90.0,57.4,90.0,57.4,15.99,0,0.0
PR,novo itacolomi,1,1,2,90.0,32.22,90.0,32.22,12.03,0,0.0
GO,britania,1,1,1,89.99,15.38,89.99,15.38,12.12,0,0.0
MA,cajapio,1,1,1,89.99,59.17,89.99,59.17,20.04,0,0.0
MG,palmopolis,1,1,1,89.99,23.21,89.99,23.21,15.33,0,0.0
MG,vitorinos,1,1,1,89.99,15.38,89.99,15.38,18.5,0,0.0
MT,conquista d'oeste,1,1,1,89.99,64.05,89.99,64.05,31.37,0,0.0
PB,brejo dos santos,1,1,1,89.99,35.95,89.99,35.95,17.58,0,0.0
PR,marilena,1,1,1,89.99,17.88,89.99,17.88,13.11,0,0.0
PR,paranapoema,1,1,1,89.99,50.5,89.99,50.5,19.46,0,0.0
SP,pontes gestal,1,1,1,89.99,45.09,89.99,45.09,13.33,0,0.0
SP,tapinas,1,1,1,89.99,45.09,89.99,45.09,13.92,0,0.0
TO,peixe,1,1,1,89.99,27.17,89.99,27.17,20.15,0,0.0
AL,coite do noia,1,1,1,89.9,21.11,89.9,21.11,11.61,0,0.0
BA,retirolandia,1,1,1,89.9,27.1,89.9,27.1,14.36,0,0.0
ES,atilio vivacqua,1,1,1,89.9,17.88,89.9,17.88,24.72,1,100.0
ES,santa leopoldina,1,1,1,89.9,17.88,89.9,17.88,10.4,0,0.0
ES,vargem grande do soturno,1,1,1,89.9,21.12,89.9,21.12,27.86,1,100.0
GO,jaupaci,1,1,1,89.9,15.38,89.9,15.38,13.66,0,0.0
MA,santa rita,1,1,1,89.9,34.43,89.9,34.43,13.8,0,0.0
MG,braunas,1,1,1,89.9,15.38,89.9,15.38,6.83,0,0.0
MG,estrela do sul,1,1,1,89.9,15.38,89.9,15.38,14.58,0,0.0
MG,ilicinea,1,1,1,89.9,15.38,89.9,15.38,16.41,0,0.0
MG,lamim,1,1,1,89.9,18.73,89.9,18.73,15.34,0,0.0
MS,bandeirantes,1,1,1,89.9,17.88,89.9,17.88,25.28,0,0.0
MS,coronel sapucaia,1,1,1,89.9,16.33,89.9,16.33,15.71,0,0.0
PE,machados,1,1,1,89.9,52.76,89.9,52.76,14.15,0,0.0
PR,bom sucesso,1,1,1,89.9,17.88,89.9,17.88,11.95,0,0.0
PR,contenda,1,1,1,89.9,14.71,89.9,14.71,3.92,0,0.0
